measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,44636,Low-middle SDI,1,Male,22,All ages,572,Eating disorders,1,Number,2017,0.7324559469980416,2.2376702960870416,0.19345020836803264
1,Deaths,44636,Low-middle SDI,2,Female,22,All ages,572,Eating disorders,1,Number,2017,3.426204782704842,9.416788621582334,1.9075212351189208
1,Deaths,44636,Low-middle SDI,3,Both,22,All ages,572,Eating disorders,1,Number,2017,4.158660729702885,12.290934788875141,2.237802732750624
1,Deaths,44636,Low-middle SDI,1,Male,22,All ages,572,Eating disorders,2,Percent,2017,1.0718868407859886e-07,3.216385928688105e-07,2.8103987084901253e-08
1,Deaths,44636,Low-middle SDI,2,Female,22,All ages,572,Eating disorders,2,Percent,2017,5.857362902363225e-07,1.6061741464243192e-06,3.258774543649843e-07
1,Deaths,44636,Low-middle SDI,3,Both,22,All ages,572,Eating disorders,2,Percent,2017,3.277428512680366e-07,9.646559622643454e-07,1.7517198970843378e-07
1,Deaths,44636,Low-middle SDI,1,Male,22,All ages,572,Eating disorders,3,Rate,2017,7.950834866911478e-05,0.00024289989157298168,2.0999087631245054e-05
1,Deaths,44636,Low-middle SDI,2,Female,22,All ages,572,Eating disorders,3,Rate,2017,0.0003774463039395856,0.0010373962695220467,0.00021014121616907887
1,Deaths,44636,Low-middle SDI,3,Both,22,All ages,572,Eating disorders,3,Rate,2017,0.00022737787813964405,0.0006720160297487962,0.0001223535340196619
1,Deaths,44636,Low-middle SDI,1,Male,22,All ages,573,Anorexia nervosa,1,Number,2017,0.7324559469980416,2.2376702960870416,0.19345020836803264
1,Deaths,44636,Low-middle SDI,2,Female,22,All ages,573,Anorexia nervosa,1,Number,2017,3.426204782704842,9.416788621582334,1.9075212351189208
1,Deaths,44636,Low-middle SDI,3,Both,22,All ages,573,Anorexia nervosa,1,Number,2017,4.158660729702885,12.290934788875141,2.237802732750624
1,Deaths,44636,Low-middle SDI,1,Male,22,All ages,573,Anorexia nervosa,2,Percent,2017,1.0718868407859886e-07,3.216385928688105e-07,2.8103987084901253e-08
1,Deaths,44636,Low-middle SDI,2,Female,22,All ages,573,Anorexia nervosa,2,Percent,2017,5.857362902363225e-07,1.6061741464243192e-06,3.258774543649843e-07
1,Deaths,44636,Low-middle SDI,3,Both,22,All ages,573,Anorexia nervosa,2,Percent,2017,3.277428512680366e-07,9.646559622643454e-07,1.7517198970843378e-07
1,Deaths,44636,Low-middle SDI,1,Male,22,All ages,573,Anorexia nervosa,3,Rate,2017,7.950834866911478e-05,0.00024289989157298168,2.0999087631245054e-05
1,Deaths,44636,Low-middle SDI,2,Female,22,All ages,573,Anorexia nervosa,3,Rate,2017,0.0003774463039395856,0.0010373962695220467,0.00021014121616907887
1,Deaths,44636,Low-middle SDI,3,Both,22,All ages,573,Anorexia nervosa,3,Rate,2017,0.00022737787813964405,0.0006720160297487962,0.0001223535340196619
1,Deaths,1,Global,1,Male,22,All ages,558,Mental disorders,1,Number,2018,15.801488034025452,23.142135936235647,3.750665352229273
1,Deaths,1,Global,2,Female,22,All ages,558,Mental disorders,1,Number,2018,227.25739005363513,252.80688588397192,199.52214586713188
1,Deaths,1,Global,3,Both,22,All ages,558,Mental disorders,1,Number,2018,243.0588780876605,270.8782592348957,207.4125237749758
1,Deaths,1,Global,1,Male,22,All ages,558,Mental disorders,2,Percent,2018,5.144424218882217e-07,7.329715743900159e-07,1.2339945385194474e-07
1,Deaths,1,Global,2,Female,22,All ages,558,Mental disorders,2,Percent,2018,8.84712431323522e-06,9.814123965928773e-06,7.687368840339952e-06
1,Deaths,1,Global,3,Both,22,All ages,558,Mental disorders,2,Percent,2018,4.31075029828881e-06,4.861557626792882e-06,3.696921672339391e-06
1,Deaths,1,Global,1,Male,22,All ages,558,Mental disorders,3,Rate,2018,0.00041085224046565776,0.0006017153813672226,9.752051578193982e-05
1,Deaths,1,Global,2,Female,22,All ages,558,Mental disorders,3,Rate,2018,0.005955382175645559,0.006624918211542165,0.005228567620455541
1,Deaths,1,Global,3,Both,22,All ages,558,Mental disorders,3,Rate,2018,0.003172252920353174,0.0035353341366455805,0.0027070189307205265
1,Deaths,1,Global,1,Male,22,All ages,572,Eating disorders,1,Number,2018,15.801488034025452,23.142135936235647,3.750665352229273
1,Deaths,1,Global,2,Female,22,All ages,572,Eating disorders,1,Number,2018,227.25739005363513,252.80688588397192,199.52214586713188
1,Deaths,1,Global,3,Both,22,All ages,572,Eating disorders,1,Number,2018,243.0588780876605,270.8782592348957,207.4125237749758
1,Deaths,1,Global,1,Male,22,All ages,572,Eating disorders,2,Percent,2018,5.144424218882217e-07,7.329715743900159e-07,1.2339945385194474e-07
