Cause ID	Cause Name	Level	works	works_2016	works_2017	works_2018	works_2019	works_2020	works_2021	page_views	language	2016	2017	2018	2019	2020	2021	cause_id	val_2016	val_2017	val_2018	val_2019	val_2020	val_2021	total
558	Mental disorders	2	19710	3479	3606	3518	3407	2914	2786	13519550.0	116	2229134.0	2246939.0	2230627.0	2446082.0	2237803.0	2128965.0	558	5775892307.123515	5852291716.873681	5930495856.682497	6010159666.824578	6623771303.400139	6778553298.817524	36971164149.72194
559	Schizophrenia	3	13871	2504	2494	2419	2276	1974	2204	60796911.0	106	12476344.0	12173977.0	10530974.0	9206209.0	8514743.0	7894664.0	559	147589851.04978642	149465962.20413116	151334131.2596018	153246970.6145613	155196492.06803864	156841476.82848248	913674884.0246018
567	Depressive disorders	3	1633	364	369	331	275	153	141	5588510.0	40	1020254.0	1078620.0	1037087.0	912413.0	813184.0	726952.0	567	2417072328.6715784	2456676670.2584596	2496432673.99208	2537123974.526873	2926981157.011941	2983752855.1383405	15818039659.599274
568	Major depressive disorder	4	9384	1596	1473	1500	1510	1540	1765	24843299.0	91	4725579.0	4716460.0	4426997.0	4172376.0	3541019.0	3260868.0	568	1940103143.2080805	1972400166.8043666	2004875364.0196135	2038112469.8042955	2422757000.4508257	2463729486.463905	12841977630.751087
569	Dysthymia	4	55	17	15	10	3	5	5	8950265.0	41	1680833.0	1731925.0	1639446.0	1345781.0	1269595.0	1282685.0	569	490326381.57247245	497861996.36988413	505370690.1314625	513074579.32649666	520688951.5954544	536885786.0814947	3064208385.077265
570	Bipolar disorder	3	6762	1280	1208	1143	1072	1003	1056	48275355.0	87	9126412.0	7955523.0	8755565.0	7546896.0	8219045.0	6671914.0	570	180323892.42192242	182735742.4816635	185159091.2794167	187591688.5268084	189892914.11581084	192077599.00221023	1117780927.827832
571	Anxiety disorders	3	4660	959	926	934	811	556	474	13160610.0	64	2573137.0	2650117.0	2510506.0	2011278.0	1774199.0	1641373.0	571	1431955359.814146	1453035243.9913986	1474950573.6811705	1495996236.400973	1735384995.3088112	1821886191.673083	9413208600.869583
572	Eating disorders	3	3478	509	557	568	576	569	699	7118979.0	51	1217206.0	1167543.0	1081069.0	1180589.0	1229910.0	1242662.0	572	110470624.85287966	111754054.64268136	113027705.35200004	114191561.72931162	115121859.52222715	115741820.02770376	680307626.1268036
573	Anorexia nervosa	4	1877	351	314	274	289	268	381	15604881.0	79	3561021.0	3168353.0	2523574.0	2285897.0	2032524.0	2033512.0	573	22287607.107421204	22509513.355999637	22726914.265210442	22902826.58408733	22927968.807471693	23048766.61121599	136403596.7314063
574	Bulimia nervosa	4	552	97	101	86	79	76	113	16856081.0	60	3580545.0	3149500.0	2803273.0	2534472.0	2839812.0	1948479.0	574	88256846.50042282	89319356.4687645	90376536.99221991	91365115.39996713	92268981.16199552	92768369.72085468	544355206.2442245
575	Autism spectrum disorders	3	3849	522	503	509	532	681	1102	50201890.0	104	10763442.0	10105914.0	8718304.0	7605482.0	6601729.0	6407019.0	575	284001208.6258585	287143778.8959441	290172390.71532255	293022999.98296005	295746493.82633364	298025358.0066049	1748112230.0530236
578	Attention-deficit/hyperactivity disorder	3	6891	1260	1185	1148	1063	1043	1192	22680293.0	79	4271065.0	3877242.0	3301551.0	3457123.0	3436264.0	4337048.0	578	349135341.4264282	350614284.6050767	352372985.0363802	354207503.2032226	355640780.5711043	359602742.7237883	2121573637.5660002
579	Conduct disorder	3	631	131	115	112	98	87	88	2510333.0	22	430570.0	456026.0	439955.0	427025.0	390610.0	366147.0	579	230283092.75686598	232463963.10131183	234891314.13967836	237397482.7410313	239805743.79055086	242044760.60814807	1416886357.1375864
582	Idiopathic developmental intellectual disability	3	5467	864	917	904	929	854	999	13198014.0	63	2222616.0	2153608.0	2307930.0	2358049.0	2117669.0	2038142.0	582	367641627.6149747	365647686.440127	364213246.8581842	364371724.4780883	367394406.5485972	368479727.93453306	2197748419.8745046
