mesh,work_id,publication_year
D001008,2515669524,2016
D019964,2559393359,2016
D001523,1939550858,2016
D001523,2536453601,2016
D019955,2282554443,2016
D001289,2282554443,2016
D001523,2296303215,2016
D012559,2541960205,2016
D001523,2365931588,2016
D001714,2411759106,2016
D001523,2289726796,2016
D001714,2547281966,2016
D001714,2547281966,2016
D001523,2472360693,2016
D003865,2556029587,2016
D001714,2556029587,2016
D001714,2553997294,2016
D001008,2560542501,2016
D003865,2560542501,2016
D001289,2483178586,2016
D001289,2483178586,2016
D001068,2341666684,2016
D001714,2528333854,2016
D001321,4254626828,2016
D001321,4254626828,2016
D019964,2540779509,2016
D001523,2290117469,2016
D001523,2291338011,2016
D001523,2505342460,2016
D001523,2527250433,2016
D052018,2414271881,2016
D012559,2285099516,2016
D001523,2402550724,2016
D001523,2402550724,2016
D012559,2417219747,2016
D012559,2566899642,2016
D012559,2291815588,2016
D001289,2281417394,2016
D001008,2345525664,2016
D001523,2301049713,2016
D001321,2225389324,2016
D019964,2347024370,2016
D012559,2347024370,2016
D019964,2484530922,2016
D001068,2474416856,2016
D001068,2474416856,2016
D052018,2234291619,2016
D000856,2234291619,2016
D001523,2436792143,2016
D001523,2274415675,2016
D012559,2486127874,2016
D052018,2340565865,2016
D001523,2377499878,2016
D012559,2205614044,2016
D012559,2410523585,2016
D003865,2472267088,2016
D001289,2508709756,2016
D003865,2343588220,2016
D001523,2565920104,2016
D012559,2333125830,2016
D012559,2350695445,2016
D001523,2530338504,2016
D019964,2279587245,2016
D001008,2279587245,2016
D019964,2480631035,2016
D001008,2501649536,2016
D001523,2428940801,2016
D001523,2428940801,2016
D001714,2550294522,2016
D001289,2473668632,2016
D003865,2516544396,2016
D003865,2516544396,2016
D001714,2465284203,2016
D012559,2511913265,2016
D012559,2352290820,2016
D012559,2339629769,2016
D001523,2424203156,2016
D001714,2560359312,2016
D001714,2560359312,2016
D012559,2299199186,2016
D012559,2471723217,2016
D001714,2561750395,2016
D000856,2273268644,2016
D000856,2273268644,2016
D012559,2461459706,2016
D012559,2461459706,2016
D012559,2561353962,2016
D001523,2333863053,2016
D008607,2424535713,2016
D001008,2565432385,2016
D001008,2565432385,2016
D001714,2344964161,2016
D000856,2339385670,2016
D001523,2326515865,2016
D052018,2285244734,2016
D001523,2530754903,2016
D001523,2554990449,2016
D001523,2554990449,2016
D001523,2554233667,2016
D001714,2461679358,2016
D012559,2461679358,2016
D012559,2529188573,2016
D001523,2341480904,2016
D001523,2341480904,2016
